Date,Time,SoilHumidity RAW,SoilHumidity %,Temperature C°,AirPressure hPa, AirHumidity %
21.02.23,00:00:11,598,1,23,966.32,33 
21.02.23,00:00:21,598,1,23,966.30,32 
21.02.23,00:00:31,597,1,23,966.28,32 
21.02.23,00:00:41,596,1,23,966.30,32 
21.02.23,00:00:51,598,1,23,966.24,32 
21.02.23,00:01:01,597,1,23,966.29,32 
21.02.23,00:01:11,597,1,23,966.31,31 
21.02.23,00:01:21,598,1,23,966.26,31 
21.02.23,00:01:31,598,1,23,966.29,31 
21.02.23,00:01:41,597,1,23,966.32,31 
21.02.23,00:01:51,597,1,23,966.27,32 
21.02.23,00:02:01,596,1,23,966.26,31 
21.02.23,00:02:11,597,1,23,966.24,31 
21.02.23,00:02:21,597,1,23,966.25,31 
21.02.23,00:02:31,597,1,23,966.26,31 
21.02.23,00:02:41,597,1,23,966.29,31 
21.02.23,00:02:51,597,1,22,966.27,31 
21.02.23,00:03:01,596,1,22,966.25,31 
21.02.23,00:03:11,596,1,22,966.25,31 
21.02.23,00:03:21,597,1,22,966.24,31 
21.02.23,00:03:31,597,1,22,966.28,31 
21.02.23,00:03:41,597,1,22,966.25,31 
21.02.23,00:03:51,597,1,22,966.26,31 
21.02.23,00:04:01,596,1,22,966.24,31 
21.02.23,00:04:11,597,1,22,966.25,31 
21.02.23,00:04:21,596,1,22,966.26,31 
21.02.23,00:04:31,597,1,22,966.26,31 
21.02.23,00:04:41,596,1,22,966.24,32 
21.02.23,00:04:51,597,1,22,966.28,32 
21.02.23,00:05:01,597,1,22,966.24,32 
21.02.23,00:05:11,597,1,22,966.25,31 
21.02.23,00:05:21,596,1,22,966.23,31 
21.02.23,00:05:31,597,1,22,966.21,31 
21.02.23,00:05:41,596,1,22,966.21,31 
21.02.23,00:05:51,596,1,22,966.25,31 
21.02.23,00:06:01,597,1,22,966.25,31 
21.02.23,00:06:11,597,1,22,966.27,31 
21.02.23,00:06:21,597,1,22,966.26,31 
